INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5,Attribute,ID,SourceFile,Habitat
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175520_000.wav,5,08-12-24,0.746759000,17,08-12-24,0.246759000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Y/T9Dm2N5aMZ6tCSGfO0HQ==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175525_000.wav,5,08-12-24,0.74681700,17,08-12-24,0.24681700,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,b+6q4sLWFdXnwXBxOmLoCQ==,MANUAL ID.1,MO1.B,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175530_000.wav,5,08-12-24,0.746875,17,08-12-24,0.246875,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,pC1zg9ywVcTdOkMiNKeEgA==,MANUAL ID.1,MAFU,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175530_000.wav,5,08-12-24,0.746875,17,08-12-24,0.246875,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,pC1zg9ywVcTdOkMiNKeEgA==,MANUAL ID.2,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175535_000.wav,5,08-12-24,0.74693300,17,08-12-24,0.24693300,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,KTAcWkJh+7ZIxwT7I4XMxw==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175535_000.wav,5,08-12-24,0.74693300,17,08-12-24,0.24693300,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,KTAcWkJh+7ZIxwT7I4XMxw==,MANUAL ID.2,MAFU,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175710_000.wav,5,08-12-24,0.748032000,17,08-12-24,0.248032000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,bFI/lIMTSSJKJUWuInqX1A==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175700_000.wav,5,08-12-24,0.747917000,17,08-12-24,0.247917000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0MOEwezGkPLKPNKK9MqVWQ==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175705_000.wav,5,08-12-24,0.747975000,17,08-12-24,0.247975000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,KVmRMgUfRo735z8LqkFi/A==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175625_000.wav,5,08-12-24,0.747512000,17,08-12-24,0.247512000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,OF1yGbSEHgNqmxALpICHDQ==,MANUAL ID.1,MAFU,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175540_000.wav,5,08-12-24,0.746991000,17,08-12-24,0.246991000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3gvigjexWMAbGoUl9wSXKg==,MANUAL ID.1,MAFU,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175745_000.wav,5,08-12-24,0.7484370,17,08-12-24,0.2484380,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tha6GnZjJ5W8FC4qC5f3ww==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175550_000.wav,5,08-12-24,0.747106000,17,08-12-24,0.247106000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6W8GdzKvX++qmW2XnI6HTg==,MANUAL ID.1,MAFU,meta_MA1_1_edited.csv.xlsx,AG
